"ID","Game","Where it appears","Type","English","Portuguese","Your feedback","Suggested Portuguese"
"DAN-172","Dance","Song groups","In-game","+ Create a song group","+ Criar uma lista de músicas","",""
"DAN-173","Dance","Song groups","In-game","Create a song group","Criar uma lista de músicas","",""
"DAN-174","Dance","Song groups","In-game","Edit song group","Editar a lista","",""
"DAN-175","Dance","Song groups","In-game","{count} song · on this session","{count} música · só nesta sessão","",""
"DAN-176","Dance","Song groups","In-game","{count} songs · on this session","{count} músicas · só nesta sessão","",""
"DAN-177","Dance","Song groups","In-game","You can keep up to {count} song group. Edit or delete one to add another.","Dá para guardar até {count} lista. Edite ou apague uma para adicionar outra.","",""
"DAN-178","Dance","Song groups","In-game","You can keep up to {count} song groups. Edit or delete one to add another.","Dá para guardar até {count} listas. Edite ou apague uma para adicionar outra.","",""
"DAN-179","Dance","Song groups","In-game","You can keep up to {count} song group","Dá para guardar até {count} lista","",""
"DAN-180","Dance","Song groups","In-game","You can keep up to {count} song groups","Dá para guardar até {count} listas","",""
"DAN-181","Dance","Song groups","In-game","Up to {count} song per group","Até {count} música por lista","",""
"DAN-182","Dance","Song groups","In-game","Up to {count} songs per group","Até {count} músicas por lista","",""
"DAN-183","Dance","Song groups","In-game","Song group saved to your account","Lista salva na sua conta","",""
"DAN-184","Dance","Song groups","In-game","Group saved. Your account is at the group limit, the rest stay session-only.","Lista salva. Sua conta chegou no limite, então as outras ficam só nesta sessão.","",""
"DAN-185","Dance","Song groups","In-game","Your account is at the group limit, so your session group was not saved.","Sua conta chegou no limite de listas, então a lista desta sessão não foi salva.","",""
"DAN-186","Dance","Song groups","In-game","Delete ""{name}""?","Apagar “{name}”?","",""
"DAN-187","Dance","Song groups","In-game","Discard this song group?","Descartar esta lista?","",""
"DAN-188","Dance","Playing the round","In-game","Your song is different — blend in and dance like you fit the vibe.","A sua música é outra. Disfarce e dance como se fosse a de todo mundo.","",""
"DAN-189","Dance","Playing the round","In-game","NOW PLAYING","TOCANDO AGORA","",""
"DAN-190","Dance","Playing the round","In-game","Track —","Música —","",""
"DAN-191","Dance","Playing the round","In-game","End Round","Terminar a rodada","",""
"DAN-192","Dance","Playing the round","In-game","Dance to the song! Watch who's off the vibe.","Bora dançar! Fique de olho em quem está fora do ritmo.","",""
"DAN-193","Dance","Playing the round","In-game","Tap to start the music","Toque para começar a música","",""
"DAN-194","Dance","Playing the round","In-game","You're the Impostor","Você é o impostor","",""
"DAN-195","Dance","Playing the round","In-game","Game Master","Mestre","",""
"DAN-196","Dance","Playing the round","In-game","🎵 NOW PLAYING","🎵 TOCANDO AGORA","",""
"DAN-197","Dance","Playing the round","In-game","{title} — {artist}","{title} — {artist}","",""
"DAN-198","Dance","Playing the round","In-game","End Round","Terminar a rodada","",""
"DAN-199","Dance","Playing the round","In-game","Impostor: {names}","Impostor: {names}","",""
"DAN-200","Dance","Playing the round","In-game","Impostors: {names}","Impostores: {names}","",""
"DAN-201","Dance","Playing the round","In-game","You're watching — everyone else is dancing.","Você só assiste. O resto dança.","",""
"DAN-202","Dance","Playing the round","In-game","Dance to your song and find the others on your wavelength.","Dance a sua música e ache quem está no mesmo ritmo que você.","",""
"DAN-203","Dance","Playing the round","In-game","Dance to the song! Watch who's off the vibe.","Bora dançar! Fique de olho em quem está fora do ritmo.","",""
"DAN-204","Dance","Playing the round","In-game","Find Your Group","Ache a sua turma","",""
"DAN-205","Dance","Playing the round","In-game","Find the Impostor","Descubram o impostor","",""
"DAN-206","Dance","Playing the round","In-game","who shared your song?","quem estava na sua música?","",""
"DAN-207","Dance","Playing the round","In-game","who danced off the vibe?","quem estava fora do ritmo?","",""
"DAN-208","Dance","Playing the round","In-game","Reveal Groups","Revelar as turmas","",""
"DAN-209","Dance","Playing the round","In-game","Reveal Impostor","Revelar impostor","",""
"DAN-210","Dance","Playing the round","In-game","Everyone locked in their guess? Hit Reveal to show the groups.","Todo mundo já se decidiu? Toque em Revelar para mostrar as turmas.","",""
"DAN-211","Dance","Playing the round","In-game","You know who it is — enjoy the debate, then reveal.","Você sabe quem é. Aproveite a discussão e depois revele.","",""
"DAN-212","Dance","Playing the round","In-game","Hit Reveal when everyone is ready.","Toque em Revelar quando todo mundo estiver pronto.","",""
"DAN-213","Dance","Playing the round","In-game","waiting for the host to reveal the groups….","esperando o anfitrião revelar as turmas….","",""
"DAN-214","Dance","Playing the round","In-game","waiting for host to reveal impostor….","esperando o anfitrião revelar o impostor….","",""
"DAN-215","Dance","Playing the round","In-game","Tap to start the music","Toque para começar a música","",""
"DAN-216","Dance","Playing the round","In-game","Your browser paused the song. One tap and you'll drop in, right in sync with everyone else.","O navegador pausou a música. Um toque e você entra, no mesmo ponto que todo mundo.","",""
"DAN-217","Dance","Playing the round","In-game","Couldn't load the song","Não deu para carregar a música","",""
"DAN-218","Dance","Playing the round","In-game","The music service didn't answer. Tap to try again and you'll drop back in with everyone else.","O serviço de música não respondeu. Toque para tentar de novo e entrar junto com todo mundo.","",""
"DAN-219","Dance","Discussion and voting","In-game","Find the Impostor","Descubram o impostor","",""
"DAN-220","Dance","Discussion and voting","In-game","who danced off the vibe?","quem estava fora do ritmo?","",""
"DAN-221","Dance","Discussion and voting","In-game","Reveal Impostor","Revelar impostor","",""
"DAN-222","Dance","End of the round","In-game","Round Over","Fim da rodada","",""
"DAN-223","Dance","End of the round","In-game","TheImpostorwas","OImpostorera","",""
"DAN-224","Dance","End of the round","In-game","Crewmates heard","O grupo escutou","",""
"DAN-225","Dance","End of the round","In-game","Impostor heard","O impostor escutou","",""
"DAN-226","Dance","End of the round","In-game","Play Again","Outra rodada","",""
"DAN-227","Dance","End of the round","In-game","Exit Room","Sair da sala","",""
"DAN-228","Dance","End of the round","In-game","Round Over","Fim da rodada","",""
"DAN-229","Dance","End of the round","In-game","The Reveal!","A revelação!","",""
"DAN-230","Dance","End of the round","In-game","Round complete. Here are the squads…","Fim da rodada. As turmas eram estas…","",""
"DAN-231","Dance","End of the round","In-game","was","era","",""
"DAN-232","Dance","End of the round","In-game","were","eram","",""
"DAN-233","Dance","End of the round","In-game","Impostor heard","O impostor escutou","",""
"DAN-234","Dance","End of the round","In-game","Impostors heard","Os impostores escutaram","",""
"DAN-235","Dance","End of the round","In-game","YOUR SQUAD","SUA TURMA","",""
"DAN-236","Dance","End of the round","In-game","THE OTHER SQUAD","A OUTRA TURMA","",""
"DAN-237","Dance","End of the round","In-game","SQUAD {n}","TURMA {n}","",""
"DAN-238","Dance","End of the round","In-game","Quit Game","Sair da partida","",""
"DAN-239","Dance","End of the round","In-game","Exit Room","Sair da sala","",""
"DAN-240","Dance","Leaving a game","In-game","Quit anyway","Sair mesmo assim","",""
"DAN-241","Dance","Errors and messages","In-game","Firebase not configured","Firebase não configurado","",""
"DAN-242","Dance","Errors and messages","In-game","Firebase not configured — see README","Firebase não configurado. Veja o README.","",""
"DAN-243","Dance","Errors and messages","In-game","Room closed","Sala fechada","",""
"DAN-244","Dance","Errors and messages","In-game","Room not found","Sala não encontrada","",""
"DAN-245","Dance","Errors and messages","In-game","No room found with that code","Não achamos nenhuma sala com esse código","",""
"DAN-246","Dance","Errors and messages","In-game","Game already in progress","A partida já começou","",""
"DAN-247","Dance","Errors and messages","In-game","Room is full","A sala está cheia","",""
"DAN-248","Dance","Errors and messages","In-game","Could not check room: {detail}","Não deu para verificar a sala: {detail}","",""
"DAN-249","Dance","Errors and messages","In-game","Choose a nickname","Escolha um nome","",""
"DAN-250","Dance","Errors and messages","In-game","Could not join","Não deu para entrar","",""
"DAN-251","Dance","Errors and messages","In-game","Failed to create room: {detail}","Não deu para criar a sala: {detail}","",""
"DAN-252","Dance","Errors and messages","In-game","Could not load songs","Não deu para carregar as músicas","",""
"DAN-253","Dance","Errors and messages","In-game","Could not change category","Não deu para trocar de categoria","",""
"DAN-254","Dance","Errors and messages","In-game","Could not change mode","Não deu para trocar de modo","",""
"DAN-255","Dance","Errors and messages","In-game","Could not select group","Não deu para escolher a lista","",""
"DAN-256","Dance","Errors and messages","In-game","Could not save group","Não deu para salvar a lista","",""
"DAN-257","Dance","Errors and messages","In-game","Could not copy","Não deu para copiar","",""
"DAN-258","Dance","Errors and messages","In-game","No track loaded","Nenhuma música carregada","",""
"DAN-259","Dance","Errors and messages","In-game","Room code copied","Código copiado","",""
"DAN-260","Dance","Rating and feedback","In-game","Enjoying the game? 🎉","Está curtindo? 🎉","",""
"DAN-261","Dance","Rating and feedback","In-game","What should we make better?","O que dá para melhorar no jogo?","",""
"DAN-262","Dance","Rating and feedback","In-game","Your feedback","Seu comentário","",""
"DAN-263","Dance","Rating and feedback","In-game","Help us improve","Conte o que dá para melhorar","",""
"DAN-264","Dance","Rating and feedback","In-game","Send","Enviar","",""
"DAN-265","Dance","Rating and feedback","In-game","Enjoying the game?","Está curtindo?","",""
"DAN-266","Dance","Rating and feedback","In-game","Not great","Fraco","",""
"DAN-267","Dance","Rating and feedback","In-game","It's okay","Normal","",""
"DAN-268","Dance","Rating and feedback","In-game","Good","Bom","",""
"DAN-269","Dance","Rating and feedback","In-game","Love it","Amei","",""
"DAN-270","Dance","Rating and feedback","In-game","Having a good time?","Está sendo divertido?","",""
"DAN-271","Dance","Rating and feedback","In-game","Having a good time? 😀","Está sendo divertido? 😀","",""
"DAN-272","Dance","Rating and feedback","In-game","Your support helps keep Impostor Games free and motivates me to keep making fun little party games for you and your friends.","Seu apoio ajuda a manter o Impostor Games grátis e me anima a continuar criando joguinhos divertidos para você e seus amigos.","",""
"DAN-273","Dance","Rating and feedback","In-game","☕ Buy me a coffee","☕ Me pague um café","",""
"DAN-274","Dance","Rating and feedback","In-game","Not now","Agora não","",""
"DAN-275","Dance","Rating and feedback","In-game","Thanks! 🙏","Valeu! 🙏","",""
"DAN-276","Dance","Account and sign in","In-game","Sign in to save and use anytime.","Entre para salvar e usar quando quiser.","",""
"DAN-277","Dance","Account and sign in","In-game","Sign in & Save","Entrar & salvar","",""
"DAN-278","Dance","Account and sign in","In-game","Save it to your account and use it anytime.","Salve na sua conta e use quando quiser.","",""
"DAN-279","Dance","Account and sign in","In-game","Continue as Guest","Seguir como visitante","",""
"DAN-280","Dance","Account and sign in","In-game","Available only during this session.","Disponível só nesta sessão.","",""
"DAN-281","Dance","Account and sign in","In-game","Lose your song group?","Perder a sua lista de músicas?","",""
"DAN-282","Dance","Account and sign in","In-game","Signing in keeps it for next time.","Se você entrar, ela fica salva para a próxima.","",""
"DAN-283","Dance","Language","In-game","Cancel","Cancelar","",""
"DAN-284","Dance","Language","In-game","The whole game will be in {lang}: the songs and the buttons. Everyone in a room plays in the same language.","O jogo inteiro vai ser em {lang}: as músicas e os botões. Numa sala todo mundo joga no mesmo idioma.","",""
"DAN-285","Dance","Screen reader labels","In-game","Edit group","Editar a lista","",""
"DAN-286","Dance","Screen reader labels","In-game","Preview","Ouvir um trecho","",""
"DAN-287","Dance","Screen reader labels","In-game","Remove","Tirar","",""
"LDAN-001","Dance","Page title and search description","Landing page","Imposter Dance Game | Free Headphones Party Game","Jogo do Impostor da Dança | Grátis e Online","",""
"LDAN-002","Dance","Page title and search description","Landing page","Who is the imposter? Everyone puts on headphones and dances to the same song, except the imposter, who hears a completely different track. Catch them by whose dancing is off-vibe. A free online imposter dance game for 3–20 friends, no app, no sign-up. Also known as the Imposter Dance Challenge. Pick one or more music categories (today's pop, K-pop, Latin, 80s and 90s hits, TikTok and Reels, Bollywood, Tamil, Telugu, Kannada, Malayalam) or use DJ Mode to have the host choose the exact song the group hears.","O Jogo do Impostor da Dança: um jogo de festa online e grátis. Todo mundo põe o fone de ouvido e dança a mesma música, menos o impostor, que escuta outra completamente diferente. Descubram quem está fora do ritmo. Jogue grátis no navegador com 3 a 20 amigos, sem app e sem cadastro. Escolha uma ou mais categorias de música (TikTok e Reels, funk, sertanejo, hits globais) ou use o Modo DJ para escolher você mesmo a música do grupo.","",""
"LDAN-003","Dance","Page title and search description","Landing page","Impostor Dance Game","Impostor da Dança","",""
"LDAN-004","Dance","Page title and search description","Landing page","Everyone wears headphones and dances to the same song — except the impostor. A free multiplayer party game — the Imposter Dance Challenge, in your browser for 3–20 friends.","Todo mundo dança a mesma música de fone de ouvido, menos o impostor, que escuta outra. Um jogo de festa grátis: descubram quem está fora do ritmo. No navegador, para 3 a 20 amigos.","",""
"LDAN-005","Dance","Page title and search description","Landing page","Cartoon characters wearing headphones dancing together — Impostor Dance Game","Personagens de desenho dançando juntos de fone de ouvido. Impostor da Dança","",""
"LDAN-006","Dance","Page title and search description","Landing page","Impostor Dance Game","Impostor da Dança","",""
"LDAN-007","Dance","Page title and search description","Landing page","Everyone wears headphones and dances to the same song — except the impostor. A free multiplayer party game — the Imposter Dance Challenge, in your browser for 3–20 friends.","Todo mundo dança a mesma música de fone de ouvido, menos o impostor, que escuta outra. Um jogo de festa grátis: descubram quem está fora do ritmo. No navegador, para 3 a 20 amigos.","",""
"LDAN-008","Dance","How to play","Landing page","How to Play","Como jogar","",""
"LDAN-009","Dance","How to play","Landing page","A party game of bluff and beats — also known as the Imposter Dance Challenge","Uma música, um fone de ouvido e um impostor fora do ritmo","",""
"LDAN-010","Dance","How to play","Landing page","Four players wearing headphones. Three hear the same song and dance in time with each other. The fourth is the impostor, hearing a completely different track, and dances out of time.","Quatro jogadores de fone de ouvido. Três escutam a mesma música e dançam no mesmo ritmo. O quarto é o impostor: escuta outra música e está fora do compasso.","",""
"LDAN-011","Dance","How to play","Landing page","The Imposter Dance Challenge (also called the Imposter Dance Game) is a party game where every player wears headphones and dances to the same song — except one secret impostor, who hears a completely different track. The group watches the dance-off and tries to spot the impostor by their off-vibe moves. You can play it free online right here at impostorgames.com — no app, no sign-up, 3–20 players, works on any phone browser.","O Jogo do Impostor da Dança é um jogo de festa que dá para jogar pelo celular. Todo mundo põe o fone de ouvido e dança a mesma música, menos um impostor, que escuta outra completamente diferente e tem que disfarçar. O grupo olha a dança e tenta descobrir quem está fora do ritmo. Dá para jogar de graça aqui mesmo, em impostorgames.com/pt/dance: sem app, sem cadastro, de 3 a 20 jogadores e no navegador de qualquer celular.","",""
"LDAN-012","Dance","How to play","Landing page","Join a room","Entrem na sala","",""
"LDAN-013","Dance","How to play","Landing page","Join the room and tap “I’m Ready.”","Entrem todos na mesma sala e toquem em “Estou pronto”.","",""
"LDAN-014","Dance","How to play","Landing page","Get your song","Receba sua música","",""
"LDAN-015","Dance","How to play","Landing page","Most players get the same song. The Impostor gets a different song.","Quase todo mundo recebe a mesma música. O impostor recebe outra.","",""
"LDAN-016","Dance","How to play","Landing page","Start dancing","Bora dançar!","",""
"LDAN-017","Dance","How to play","Landing page","Dance to your song. If you're the Impostor, watch the others and fake it.","Dance a sua música. Se você é o impostor, olhe os outros e disfarce.","",""
"LDAN-018","Dance","How to play","Landing page","Find the Impostor","Descubram o impostor","",""
"LDAN-019","Dance","How to play","Landing page","Discuss who you think danced to a different song. The host taps Reveal to see if you're right.","Conversem sobre quem vocês acham que estava dançando outra música. O anfitrião toca em Revelar para ver se acertaram.","",""
"LDAN-020","Dance","The two ways to play","Landing page","Find Your Squad","Ache a Sua Turma","",""
"LDAN-021","Dance","The two ways to play","Landing page","No impostor. Two songs, two teams.","Sem impostor. Duas músicas, duas turmas.","",""
"LDAN-022","Dance","The two ways to play","Landing page","Four players wearing headphones, split into two squads. Two of them hear one song, shown by a matching pair of green notes. The other two hear a different song, shown by a matching pair of red notes.","Quatro jogadores de fone de ouvido, divididos em duas turmas. Dois escutam uma música, marcada com duas notas verdes iguais. Os outros dois escutam outra, marcada com duas notas vermelhas iguais.","",""
"LDAN-023","Dance","The two ways to play","Landing page","Find Your Squad has no impostor. The room splits into two teams and each team hears a different song, but nobody is told which team they are on. You find your people by watching how they move. Needs 4 players or more, and the host dances too.","Ache a Sua Turma não tem impostor. A sala se divide em duas turmas e cada uma escuta uma música diferente, mas ninguém sabe em qual turma está. Ache os seus olhando como cada um se mexe. Precisa de 4 jogadores ou mais, e o anfitrião dança também.","",""
"LDAN-024","Dance","The two ways to play","Landing page","Join a room","Entrem na sala","",""
"LDAN-025","Dance","The two ways to play","Landing page","Join the room and tap “I’m Ready.”","Entrem todos na mesma sala e toquem em “Estou pronto”.","",""
"LDAN-026","Dance","The two ways to play","Landing page","Get your song","Receba sua música","",""
"LDAN-027","Dance","The two ways to play","Landing page","The room splits into two squads. Each squad hears a different song.","A sala se divide em duas turmas. Cada turma recebe uma música diferente.","",""
"LDAN-028","Dance","The two ways to play","Landing page","Start dancing","Bora dançar!","",""
"LDAN-029","Dance","The two ways to play","Landing page","Dance to your song and watch how everyone else moves.","Dance a sua música e repare em como os outros estão se mexendo.","",""
"LDAN-030","Dance","The two ways to play","Landing page","Find your squad","Ache os seus","",""
"LDAN-031","Dance","The two ways to play","Landing page","Work out who is dancing to your song. The host taps Reveal Groups.","Descubra quem está dançando a mesma música que você. O anfitrião toca em Revelar as turmas.","",""
"LDAN-032","Dance","The two ways to play","Landing page","Three ways to play. In Imposter Challenge, the host picks a music category and the app plays a random song each round while the host dances along. In DJ Mode, the host searches for the exact song the group hears, sits out, and watches as game master, perfect when you want to control the playlist and catch the impostor yourself. In Find Your Squad there is no impostor at all: the room splits into two teams with a song each, and everyone dances, host included.","Três jeitos de jogar. No Desafio do Impostor, o anfitrião escolhe uma categoria de música, cada rodada sorteia uma música e ele dança junto com todo mundo. No Modo DJ, o anfitrião procura a música exata que o grupo vai escutar, fica de fora da rodada e assiste sabendo quem é o impostor: bom quando você quer botar a música e caçar o impostor por conta própria. Em Ache a Sua Turma não tem impostor: a sala se divide em duas turmas, cada uma com a sua música, e todo mundo dança, anfitrião incluído.","",""
"LDAN-033","Dance","Links to the other games","Landing page","More games","Mais jogos","",""
"LDAN-034","Dance","Links to the other games","Landing page","Play Impostor Artist","Jogue o Impostor do Desenho","",""
"LDAN-035","Dance","Links to the other games","Landing page","Impostor Artist","Impostor do Desenho","",""
"LDAN-036","Dance","Links to the other games","Landing page","Play","Jogar","",""
"LDAN-037","Dance","Links to the other games","Landing page","Play the Impostor Word Game","Jogue o Impostor das Palavras","",""
"LDAN-038","Dance","Links to the other games","Landing page","Word Game","Impostor das Palavras","",""
"LDAN-039","Dance","Links to the other games","Landing page","Play","Jogar","",""
"LDAN-040","Dance","Feedback call to action","Landing page","Got feedback?","Tem alguma sugestão?","",""
"LDAN-041","Dance","More games call to action","Landing page","More games","Impostor Games","",""
"LDAN-042","Dance","Frequently asked questions","Landing page","FAQ","Perguntas frequentes","",""
"LDAN-043","Dance","Frequently asked questions","Landing page","What is the Impostor Dance Game?","O que é o Jogo do Impostor da Dança?","",""
"LDAN-044","Dance","Frequently asked questions","Landing page","It's a free online party game for 3–20 players. When a round starts, everyone hears the same song on their phone — except one secret impostor, who hears a completely different track. Everyone dances to what they're hearing, and the group tries to spot the impostor by whose moves don't match the song's vibe. Think Spyfall or Among Us, but with music and dancing.","É um jogo de festa online e grátis para 3 a 20 jogadores. Quando a rodada começa, todo mundo escuta a mesma música no celular, menos um impostor, que escuta outra completamente diferente. Cada um dança o que está escutando e o grupo tenta descobrir o impostor por quem está fora do ritmo. É a ideia de Among Us, só que com música e dança.","",""
"LDAN-045","Dance","Frequently asked questions","Landing page","Is this the Imposter Dance Challenge?","É aquele desafio do impostor que aparece no TikTok?","",""
"LDAN-046","Dance","Frequently asked questions","Landing page","Yes — this is the online Imposter Dance Challenge, also known as the Imposter Dance Game. Everyone puts on headphones and dances to the same song, except one secret impostor who's hearing a completely different tune. The group watches the dance-off and tries to catch whoever's moving off-vibe — the same viral party game, playable right in your browser with 3–20 friends.","É esse mesmo. Nos vídeos, todo mundo dança a mesma música de fone de ouvido menos uma pessoa, que escuta outra e tenta disfarçar enquanto o grupo tenta descobrir quem é. Aqui funciona igual, só que a página cuida da parte chata: sorteia as músicas, escolhe o impostor em segredo e deixa todo mundo no mesmo ponto da música. Basta abrir a página, mandar o código da sala e colocar o fone.","",""
"LDAN-047","Dance","Frequently asked questions","Landing page","Is there an Imposter Dance Game app?","Tem app do Jogo do Impostor da Dança?","",""
"LDAN-048","Dance","Frequently asked questions","Landing page","No download needed — the Imposter Dance Game runs right in your phone's browser. Just open the page and share a room code. It works on iPhone and Android instantly, with no app to install.","Não precisa baixar nada. O jogo roda no navegador do celular: você abre a página, compartilha o código da sala e cada um entra pelo seu aparelho. Funciona na hora no iPhone e no Android. A única coisa que precisa ter em mãos é o fone de ouvido, um por jogador.","",""
"LDAN-049","Dance","Frequently asked questions","Landing page","Is it free to play?","É grátis?","",""
"LDAN-050","Dance","Frequently asked questions","Landing page","Yes, completely free. There's no sign-up, no app to install, and no payment. Just open the page in any phone browser and share a room code with your friends.","Sim, totalmente grátis. Sem cadastro, sem app e sem pagar nada. Abra a página no navegador de qualquer celular e mande o código da sala para a galera.","",""
"LDAN-051","Dance","Frequently asked questions","Landing page","How many players do I need?","Quantos jogadores precisa?","",""
"LDAN-052","Dance","Frequently asked questions","Landing page","At least 3 players, up to 20. One person creates the room and becomes the host; everyone else joins with the 4-character room code.","De 3 a 20 jogadores. Uma pessoa cria a sala e vira o anfitrião; o resto entra com o código de 4 caracteres ou lendo o QR code.","",""
"LDAN-053","Dance","Frequently asked questions","Landing page","Do I need headphones?","Precisa de fone de ouvido?","",""
"LDAN-054","Dance","Frequently asked questions","Landing page","Yes — each player needs their own headphones or earbuds. The whole game depends on the impostor hearing a different song without anyone else noticing, so audio can't leak out loud.","Precisa, e não tem como jogar sem: um para cada jogador. O jogo inteiro depende de o impostor escutar outra música sem ninguém perceber, então o som não pode sair no alto-falante.","",""
"LDAN-055","Dance","Frequently asked questions","Landing page","What kind of music does it use?","Que músicas tocam?","",""
"LDAN-056","Dance","Frequently asked questions","Landing page","The host picks one or more categories before each round: today's pop, 80s and 90s hits, trending TikTok and Reels songs, K-pop, and Latin hits, plus regional favorites from Bollywood, Tamil, Telugu, Kannada, and Malayalam. Several categories can be combined into one shuffle, so a mixed group hears a bit of everything. A random song from the chosen categories plays each round, with a different but similar track for the impostor.","O anfitrião escolhe uma ou mais categorias antes da rodada: TikTok e Reels com o que está bombando agora, Funk do baile carioca aos hits que tocam em todo lugar, Sertanejo com sofrência e modão, e Hits Globais com músicas que todo mundo reconhece em qualquer língua. Dá para misturar várias na mesma rodada. Cada rodada sorteia uma música do que foi escolhido, e o impostor recebe outra, diferente mas parecida.","",""
"LDAN-057","Dance","Frequently asked questions","Landing page","Can the host pick the exact song? (DJ Mode)","O anfitrião pode escolher a música? (Modo DJ)","",""
"LDAN-058","Dance","Frequently asked questions","Landing page","Yes, that's DJ Mode. Instead of a random song from a category, the host searches for any song the group dances to, sits out of the round, and watches as game master, knowing who the impostor is. The app still picks a contrasting track for the impostor, or the host can choose that too. The default mode, Imposter Challenge, plays a random song from a category and the host dances along.","Pode, isso é o Modo DJ. Em vez de sortear uma música da categoria, o anfitrião procura a que ele quiser, fica de fora da rodada e assiste sabendo quem é o impostor. O app continua escolhendo para o impostor uma música que contrasta, ou o anfitrião escolhe essa também. O modo padrão, Desafio do Impostor, sorteia uma música da categoria e o anfitrião dança junto.","",""
"LDAN-059","Dance","Frequently asked questions","Landing page","Can I play on one device?","Dá para jogar com um celular só?","",""
"LDAN-060","Dance","Frequently asked questions","Landing page","No — it's a real-time multiplayer game. Every player uses their own phone so each person privately hears either the crewmate song or the impostor song.","Não dá. Este é um jogo em tempo real e cada jogador precisa do próprio celular e do próprio fone de ouvido, porque cada um tem que escutar em segredo a música do grupo ou a do impostor. Se vocês só têm um celular, o Impostor das Palavras e o Impostor do Desenho funcionam assim.","",""
"LDAN-061","Dance","Frequently asked questions","English only","Is this a free alternative to the ""Who is the Impostor"" app?","","",""
"LDAN-062","Dance","Frequently asked questions","English only","Yes. ""Who is the Impostor?"" is the viral dance party game where everyone dances to the same song except one impostor hearing a different tune in their headphones, then players vote to catch them. The Impostor Dance Game is a free browser version of the same idea: no app to download, no sign-up, no ads. Open the page, share a room code, and play with 3–20 friends on their own phones. There's even a DJ Mode where the host picks the exact song.","","",""
"LDAN-063","Dance","Frequently asked questions","English only","Where can I play the Imposter Dance Challenge online?","","",""
"LDAN-064","Dance","Frequently asked questions","English only","Right here at impostorgames.com. It's a free browser version of the viral Imposter Dance Challenge — one player creates a room, shares the 4-character code (or QR code), and 3–20 friends join from their own phones. No app, no account, no cost.","","",""
"LDAN-065","Dance","Frequently asked questions","English only","How do you play the imposter dance trend from TikTok and Reels?","","",""
"LDAN-066","Dance","Frequently asked questions","English only","Exactly like the videos: everyone puts on headphones, one secret impostor gets a different song, and the group dances together and tries to spot who's moving to the wrong beat. This site handles the hard part automatically — syncing the music and secretly assigning the impostor — so you can play the trend at home with just your phones.","","",""
"LDAN-067","Dance","Frequently asked questions","Portuguese only","","Precisa saber dançar?","",""
"LDAN-068","Dance","Frequently asked questions","Portuguese only","","Não, e é bom que não. O que entrega o impostor não é dançar mal, é dançar outra coisa: um movimento arrastado em cima de uma música acelerada aparece na hora, mesmo com todo mundo dançando mal. Se mexer de qualquer jeito já dá para jogar.","",""
"WOR-001","Word","Home screen","In-game","← All games","← Impostor Games","",""
"WOR-002","Word","Home screen","In-game","Impostor
Word Game","Impostor
das Palavras","",""
"WOR-003","Word","Home screen","In-game","Impostor Word Game logo, a cute character juggling word cards","Logo do Impostor das Palavras, um personagem fazendo malabarismo com cartas de palavras","",""
"WOR-004","Word","Home screen","In-game","Create or Join the game","Crie uma sala ou entre em uma partida","",""
"WOR-005","Word","Home screen","In-game","Create","Criar","",""
"WOR-006","Word","Home screen","In-game","Create and be the host","Crie a sala e seja o anfitrião","",""
"WOR-007","Word","Home screen","In-game","Join","Entrar","",""
"WOR-008","Word","Home screen","In-game","Join an existing game","Entre em uma partida que já existe","",""
"WOR-009","Word","Home screen","In-game","Back to all games","Voltar para Impostor Games","",""
"WOR-010","Word","Home screen","In-game","Jump to How to Play","Ir para Como jogar","",""
"WOR-011","Word","Home screen","In-game","How to play","Como jogar","",""
"WOR-012","Word","Creating or joining a room","In-game","← Back","← Voltar","",""
"WOR-013","Word","Creating or joining a room","In-game","Room Code","Código da sala","",""
"WOR-014","Word","Creating or joining a room","In-game","Enter room code to join game","Digite o código para entrar na sala","",""
"WOR-015","Word","Creating or joining a room","In-game","Name","Nome","",""
"WOR-016","Word","Creating or joining a room","In-game","Enter room","Entrar na sala","",""
"WOR-017","Word","Creating or joining a room","In-game","Create Room","Criar sala","",""
"WOR-018","Word","Creating or joining a room","In-game","← Leave","← Sair","",""
"WOR-019","Word","Creating or joining a room","In-game","Room Created! 🎉","Sala criada! 🎉","",""
"WOR-020","Word","Creating or joining a room","In-game","Players can scan or enter the code to join.","Os outros podem escanear o QR ou digitar o código para entrar.","",""
"WOR-021","Word","Creating or joining a room","In-game","Scan code","Escaneie o código","",""
"WOR-022","Word","Creating or joining a room","In-game","or enter code","ou digite o código","",""
"WOR-023","Word","Creating or joining a room","In-game","Copy code","Copiar código","",""
"WOR-024","Word","Creating or joining a room","In-game","or","ou","",""
"WOR-025","Word","Creating or joining a room","In-game","Choose Pass the Phone mode to play on one phone.","Escolha o modo Passar o celular para jogar com um celular só.","",""
"WOR-026","Word","Creating or joining a room","In-game","Go to Lobby","Ir para a sala","",""
"WOR-027","Word","Creating or joining a room","In-game","Scan to join this room","Escaneie para entrar na sala","",""
"WOR-028","Word","Creating or joining a room","In-game","Enter Nick Name","Digite seu nome","",""
"WOR-029","Word","Creating or joining a room","In-game","Copy room code","Copiar o código da sala","",""
"WOR-030","Word","Creating or joining a room","In-game","Room QR code","Código QR da sala","",""
"WOR-031","Word","Creating or joining a room","In-game","That code is a room in {game}. Taking you there…","Esse código é de uma sala do {game}. Levando você para lá…","",""
